front,back,frontHint,backHint,label
to delve,approfondir,commence par a,starts with t,verb
to demand,exiger,commence par e,starts with t,verb
to despise,mépriser,commence par m,starts with t,verb
to detach,détacher,commence par d,starts with d,verb
to dictate,dicter,commence par d,starts with t,verb
to dig,creuser,commence par c,starts with d,verb
to disclose,divulger,commence par d,starts with d,verb
to dispel,dissiper,commence par d,starts with d,verb
to disturb,déranger,commence par d,starts with d,verb
to dive,plonger,commence par p,starts with d,verb
to dive,plonger,commence par p,starts with d,verb
to divert,détourner,commence par d,starts with d,verb
to drag,traîner,commence par t,starts with d,verb
to drown,noyer,commence par n,starts with d,verb
to dump,jeter / déverser,multiple meanings,starts with d,verb
to eliminate,éliminer,commence par é,starts with e,verb
to emphasize,souligner,commence par s,starts with t,verb
to encompass,englober,commence par e,starts with e,verb
to engage,engrainer,commence par e,starts with e,verb
to erase,effacer,commence par e,starts with e,verb
to evict,expulser,commence par e,starts with t,verb
to exploit,tirer parti / exploiter,multiple meanings,starts with e,verb
to expose,exposer,commence par e,starts with e,verb
to face,faire face,commence par f,starts with f,verb
to fathom,comprendre,commence par c,starts with t,verb
to float,flotter,commence par f,starts with f,verb
to flow,couler,commence par c,starts with f,verb
to flow,couler,commence par c,starts with f,verb
to fold,plier,commence par p,starts with f,verb
to foster,favoriser,commence par f,starts with t,verb
to freeze,glacer,commence par g,starts with f,verb
to fumble,tâtonner,commence par t,starts with t,verb
to gather,rassembler,commence par r,starts with g,verb
to giggle,rire,commence par r,starts with g,verb
to greet,saluer,commence par s,starts with g,verb
to hang,pendre,commence par p,starts with h,verb
to hang,accrocher,commence par a,starts with h,verb
to hang,accrocher,commence par a,starts with h,verb
to harvest,récolter,commence par r,starts with t,verb
to herald,annoncer,commence par a,starts with t,verb
to hire,embaucher,commence par e,starts with h,verb
to hoard,thésauriser,commence par t,starts with t,verb
to hug,faire un câlin,commence par f,starts with h,verb
to hustle,bousculer,commence par b,starts with t,verb
to identify,identifier,commence par i,starts with i,verb
to integrate,intégrer,commence par i,starts with i,verb
to intermingle,s'entremêler,commence par s,starts with i,verb
to jerk,secouer / tirer brusquement,multiple meanings,starts with j,verb
to jettison,jeter à la poubelle,commence par j,starts with t,verb
to jumble,mélanger,commence par m,starts with j,verb
to last,durer,commence par d,starts with t,verb
to meddle,se mêler,commence par s,starts with m,verb
to melt,faire fondre,commence par f,starts with m,verb
to mitigate,atténuer,commence par a,starts with m,verb
to nibble,grignoter,commence par g,starts with n,verb
to note,noter,commence par n,starts with n,verb
to overtake,dépasser,commence par d,starts with o,verb
to postpone,reporter / repousser,multiple meanings,starts with t,verb
to purr,ronronner,commence par r,starts with t,verb
to rationalize,rationaliser,commence par r,starts with r,verb
to recover,récupérer,commence par r,starts with r,verb
to rent,louer,commence par l,starts with r,verb
to rent,louer,commence par l,starts with r,verb
to resist,résister,commence par r,starts with r,verb
to retaliate,riposter,commence par r,starts with r,verb
to rub,frotter,commence par f,starts with r,verb
to scramble,brouiller / se démener,multiple meanings,starts with s,verb
to scribble,gribouiller,commence par g,starts with s,verb
to scrutinize,scruter / examiner minutieusement,multiple meanings,starts with s,verb
to shave,raser,commence par r,starts with s,verb
to sip,siroter,commence par s,starts with s,verb
to skew,fausser / biaiser,multiple meanings,starts with t,verb
to slander,calomnier,commence par c,starts with s,verb
to sneeze,éternuer,commence par é,s*****,verb
to soar,monter en flèche,commence par m,starts with s,verb
to spit,cracher,commence par c,starts with t,verb
to stall,caler / décrocher / stagner,multiple meanings,starts with t,verb
to steer,diriger,commence par d,starts with t,verb
to stink,puer,commence par p,starts with s,verb
to stir,remuer,commence par r,starts with t,verb
to straddle,chevaucher,commence par c,starts with s,verb
to strangle,étrangler / limiter / asphyxier,multiple meanings,starts with s,verb
to submerge,submerger,commence par s,starts with s,verb
to sue,poursuivre en justice,commence par p,starts with s,verb
to surrender,se rendre,commence par s,starts with t,verb
to swallow,engloutir,commence par e,starts with s,verb
to sweat,transpirer,commence par t,starts with s,verb
to switch,basculer,commence par b,starts with s,verb
to tailor,tailler / adapter,multiple meanings,starts with t,verb
to tear,déchirer,commence par d,starts with t,verb
to tear,déchirer,commence par d,starts with t,verb
to tickle,chatouiller,commence par c,starts with t,verb
to tie,attacher,commence par a,starts with t,verb
to tip,donner un pourboire,commence par d,starts with t,verb
to toss,lancer,commence par l,starts with t,verb
to unfold,se dérouler,commence par s,starts with u,verb
to usher,inaugurer / annoncer,multiple meanings,starts with t,verb
to whip,fouetter,commence par f,starts with w,verb
to whisper,chuchoter,commence par c,starts with w,verb
to withdraw,retirer,commence par r,starts with w,verb
to worship,adorer,commence par a,to w******,verb
to yawn,bâiller,commence par b,starts with t,verb
toddler,enfant en bas âge,commence par e,starts with t,noun
toothpaste,dentifrice,commence par d,starts with t,noun
towel,serviette,commence par s,starts with t,noun
towing,remorquage,commence par r,starts with t,noun
trade off,compromis,commence par c,starts with t,noun
trap,piège,commence par p,starts with t,noun
trash can,poubelle,commence par p,starts with t,noun
treadmill,tapis roulant,commence par t,starts with t,noun
treadmill,tapis roulant,commence par t,starts with t,noun
trim out,couper,commence par c,starts with t,phrasal verb
troubleshooting,dépannage,commence par d,starts with t,noun
trustworthy,digne de confiance,commence par d,starts with t,adjective
tub,cuve / pot,multiple meanings,t**,noun
turning point,tournant,commence par t,starts with t,noun
ugly,moche,commence par m,starts with u,adjective
uncanny,étonnant,commence par é,starts with u,adjective
underwear,sous-vêtements,commence par s,starts with u,noun
union,syndicat,commence par s,starts with u,noun
unprecedented, sans précédent,commence par s,starts with u,adjective
upbeat,optimiste,commence par o,starts with u,adjective
upset,bouleversé,commence par b,starts with u,adjective
upsurge,recrudescence,commence par r,starts with u,noun
utterly,complétement / tout à fait,multiple meanings,starts with u,adverb
vagabond,vagabond,commence par v,starts with v,noun
vault,chambre forte,commence par c,starts with v,noun
versatile,polyvalent,commence par p,starts with v,adjective
voluntarily,volontairement,commence par v,starts with v,adverb
wacky,farfelu,commence par f,starts with w,adjective
waffle,gaufre,commence par g,starts with w,noun
waist,taille,commence par t,starts with w,noun
waitress,serveuse,commence par s,starts with w,noun
wardrobe,garde-robe,commence par g,starts with w,noun
wardrobe,garde-robe,commence par g,starts with w,noun
wavering,errant,commence par e,starts with w,adjective
wealth,richesse,commence par r,starts with w,noun
weigh in on ...,donner son avis sur ...,commence par d,starts with w,phrasal verb
well,puits,commence par p,starts with w,adverb
what for,pourquoi / à quoi ça sert,multiple meanings,starts with w,noun
wheelbarrow,brouette,commence par b,starts with w,noun
while,tandis que,commence par t,starts with w,conjunction
while,tandis que,commence par t,starts with w,conjunction
whisker,moustaches,commence par m,starts with w,noun
wholesale cost,prix ​​de gros,commence par p,starts with w,noun
wholesome,sain,commence par s,starts with w,noun
winch,treuil,commence par t,starts with w,noun
wink,clin d'œil,commence par c,starts with w,noun
withdrawal,retrait,commence par r,starts with w,noun
withholding,retenue à la source,commence par r,starts with w,noun
witness,témoin,commence par t,starts with w,noun
wool,laine,commence par l,starts with w,noun
workaround,solution de contournement,commence par s,starts with w,noun
workload,charge de travail,commence par c,starts with w,noun
worse,pire encore,commence par p,starts with w,adjective
worthwhile,qui en vaut la peine,commence par q,starts with w,adjective
wrapping up,conclure /iner,multiple meanings,starts with w,phrasal verb
wrist,poignet,commence par p,starts with w,noun
yearning,aspiration,commence par a,starts with y,noun
yeast,levure,commence par l,starts with y,noun
yesterday's leftovers,les restes d'hier,commence par l,starts with y,phrase
yield,rendement,commence par r,starts with y,noun
