front,middle,back,hint,label
to resist,résister,قَاوَمَ,,verb
to retaliate,riposter,اِنْتَقَمَ,,verb
to rub,frotter,فَرَكَ / دَلَكَ,,verb
to scramble,brouiller / se démener,تدافع,,verb
to scribble,gribouiller,شَخْبَطَ / خَرْبَشَ,,verb
to scrutinize,scruter / examiner minutieusement,دَقَّقَ,,verb
to shave,raser,حَلَقَ,,verb
to sip,siroter,رَشَفَ,,verb
to skew,fausser / biaiser,حَرَّفَ,,verb
to slander,calomnier,افترى,,verb
to snap shut,se refermer brusquement,انغلق بقوة,,phrasal_verb
to sneeze,éternuer,عطس,,verb
to soar,monter en flèche,اِرْتَفَعَ,,verb
to spit,cracher,بصق,,verb
to stall,caler / décrocher / stagner,مَاطَلَ / تَعَطَّلَ,,verb
to start strong,démarrer fort,بدأ بقوة,,phrasal_verb
to stay ahead,rester en tête,بقي في المقدمة,,phrasal_verb
to steer,diriger,قَادَ,,verb
to stink,puer,نتن,,verb
to stir,remuer,حرك,,verb
to strangle,étrangler / limiter / asphyxier,خنق,,verb
to submerge,submerger,غَمَرَ,,verb
to sue,poursuivre en justice,قَاضَى / رفع قضية,,verb
to surrender,se rendre,اِسْتَسْلَمَ,,verb
to swallow,avaler,اِبْتَلَعَ,,verb
to sweat,transpirer,عرق,,verb
to switch,basculer,بَدَّلَ,,verb
to tailor,tailler / adapter,خَيَّطَ,,verb
to take action,agir,اتَّخَذَ الإِجْرَاءَات,,phrasal_verb
to take off,décoller,خَلَعَ / أَقْلَعَ,,phrasal_verb
to tear,déchirer,مَزَّقَ,,verb
to tickle,chatouiller,دغدغة,,verb
to tie,attacher,ربط,,verb
to tip,donner un pourboire,ترك بقشيش,,verb
to toss,lancer,رَمَى,,verb
to unfold,se dévoiler,كَشَفَ,,verb
to usher in,inaugurer,مهّد الطريق,,verb
to whip,fouetter,خَفَقَ / جَلَدَ,,verb
to whisper,chuchoter,هَمَسَ,,verb
to withdraw,retirer,سَحَبَ,,verb
to worship,adorer,عبد,,verb
to yawn,bâiller,تثاءب,,verb
toddler,enfant en bas âge,طفل صغير,,noun
toothpaste,dentifrice,معجون أسنان,,noun
towel,serviette,منشفة,,noun
towing,remorquage,قطر,,noun
trade off,compromis,حل وسط / مفاضلة,,noun
trap,piège,فخ,,noun
trash can,poubelle,سلة المهملات,,noun
treadmill,tapis roulant,جهاز المشي,,noun
trim out,couper,إزالة,,phrasal_verb
troubleshooting,dépannage,استكشاف الأخطاء وإصلاحها,,noun
trustworthy,digne de confiance,جدير بالثقة,,adjective
tub,cuve / pot,حوض,,noun
turning point,tournant,نقطة انعطاف,,noun
ugly,moche,قبيح,,adjective
uncanny,étonnant,غريب,,adjective
underwear,sous-vêtements,الملابس الداخلية,,noun
union,syndicat,نقابة,,noun
unprecedented,sans précédent,غير مسبوق,,adjective
upbeat,optimiste,متفائل,,adjective
upset,bouleversé / dérangé,منزعج,,adjective
upsurge,recrudescence,تصاعد,,noun
utterly,complétement / tout à fait,تماما,,adverb
vault,chambre forte,قبو,,noun
versatile,polyvalent,مُتَعَدِّد الاسْتِخْدَامَات,,adjective
voluntarily,volontairement,طوعا,,adverb
wacky,farfelu,سَخِيف,,adjective slang
wad of change,liasse de monnaie,رزمة من النقود,,noun
waffle,gaufre,وافل,,noun
waist,taille,خَصْر,,noun
waitress,serveuse,نادلة,,noun
wardrobe,garde-robe,خزانة الملابس,,noun
wavering,flottement,تَرَدُّد,,noun
we didn't come home late last night,nous ne sommes pas rentrés tard hier soir,لم نعد إلى المنزل متأخرين الليلة الماضية ,,phrase
we met,nous nous sommes rencontrés,التقينا,,phrase
wealth,richesse,ثروة,,noun
weigh in on ...,donner son avis sur ..., ... إبداء رأيك في,,phrasal_verb
well,puits,بئر,,adverb
what do you do for a living ?,que faites-vous dans la vie ?,ماذا تعمل لكسب عيشك ؟,,question
what's in it for me ?,qu'est-ce que j'y gagne ?,ما الذي سأستفيده من ذلك ؟,,phrase
wheelbarrow,brouette,عربة يدوية,,noun
whether you like it or not,que tu le veuilles ou non,سواء أعجبك ذلك أم لا,,phrase
while,tandis que,بينما,,conjunction
whisker,moustaches,شارب,,noun
wholesale cost,prix ​​de gros,تكلفة الجملة,,noun
wholesome,sain,صحي,,adjective
whose shoes are they ?,à qui sont ces chaussures ?,لمن هذه الأحذية ؟,,question
why are you making so much noise ?,pourquoi fais-tu autant de bruit ?,لماذا تُصدر كل هذا الضجيج؟,,question
why weren't you at work last week ?,pourquoi n'étais-tu pas au travail la semaine dernière ?,لماذا لم تكن في العمل الأسبوع الماضي ؟,,question
winch,treuil,رَافِعَة,,noun
wink,clin d'œil,غمزة,,noun
withdrawal,retrait,سَحْب,,noun
withholding,retenue à la source,حجب,,noun
witness,témoin,شاهد,,noun
wool,laine,صوف,,noun
workaround,solution de contournement,الحل البديل,,noun
workload,charge de travail,عبء العمل,,noun
worse,pire,أسوأ,,adjective
worthwhile,qui en vaut la peine,جديرة بالاهتمام / مُفِيد,,adjective
wrapping up,conclure,اختتام,,phrasal_verb
wrist,poignet,مِعْصَم,,noun
yearning,désir intense,توق / شَوْق,,noun
yeast,levure,خميرة,,noun
yesterday's leftovers,les restes d'hier,بقايا الأمس,,noun
yield,rendement,عَائِد,,noun
