front,back,frontHint,backHint,label
to divert,détourner,d********,t* d*****,verb
to drag,traîner,t******,t* d***,verb
to drown,noyer,n****,t* d****,verb
to dump,jeter / déverser,j**** / d*******,t* d***,verb
to eat out,manger au restaurant,m***** a* r*********,t* e** o**,phrasal_verb
to emphasize,souligner / mettre l'accent,s******** / m***** l'*******,t* e********,verb
to encompass,englober,e*******,t* e********,verb
to engage,engrainer,e********,t* e*****,verb
to enthrall,captiver,c*******,t* e*******,verb
to erase,effacer,e******,t* e****,verb
to evict,expulser,e*******,t* e****,verb
to face up,faire face,f**** f***,to f*** u*,phrasal_verb
to fathom,comprendre,c*********,t* f*****,verb
to figure out,comprendre,c*********,t* f***** o**,phrasal_verb
to find out,découvrir,d********,t* f*** o**,phrasal_verb
to flesh out,étoffer,é******,to fle** o**,phrasal_verb
to float,flotter,f******,t* f****,verb
to flow,couler,co****,t* f***,verb
to fold,plier,p****,t* f***,verb
to foster,favoriser,f********,t* f*****,verb
to freeze,glacer,gl****,t* f*****,verb
to fumble,tâtonner,t*******,t* f*****,verb
to gather,rassembler,r*********,t* g*****,verb
to get rid of,se débarrasser de,s* d********** d*,t* g** r** o*,phrasal_verb
to giggle,rire,r***,t* g*****,verb
to give up,abandonner,a*********,t* g*** u*,phrasal_verb
to go up,monter,m*****,t* g* u*,phrasal_verb
to greet,saluer,sa****,t* g****,verb
to hand over,remettre,r*******,t* h*** o***,phrasal_verb
to hand over controls,transférer les commandes,t********* l** c********,t* h*** o*** c*******,phrasal_verb
to hang,accrocher,a********,t* h***,verb
to hang out,traîner,t******,to h*** o**,phrasal_verb
to hang up,raccrocher,r*********,to h*** u*,phrasal_verb
to harvest,récolter,r*******,t* h******,verb
to herald,annoncer,a*******,t* h*****,verb
to hire,embaucher,e********,t* h***,verb
to hoard,thésauriser,t**********,t* h****,verb
to hug,faire un câlin,f**** un c****,t* h**,verb
to hustle,bousculer,b********,t* h*****,verb
to intermingle,s'entremêler,s***********,t* i**********,verb
to jettison,jeter à la poubelle,j**** à la p*******,t* j*******,verb
to jumble,mélanger,m*******,t* j*****,verb
to last,durer,d****,t* l***,verb
to lay off,licencier,l********,t* l** o**,phrasal_verb
to look out,faire attention,f**** a********,t* l*** o**,phrasal_verb
to make illegible,rendre illisible,r***** i********,t* m*** i********,phrasal_verb
to meddle,se mêler,s* m****,t* m*****,verb
to melt,faire fondre,f**** f*****,t* m***,verb
to mitigate,atténuer,a*******,t* m*******,verb
to move in,emménager,e********,to m*** in,phrasal_verb
to move out,déménager,d********,to m*** o**,phrasal_verb
to narrow down,affiner,a******,to nar*** d***,verb
to nibble,grignoter,g********,t* n*****,verb
to opt out,se retirer,s* r******,t* o** o**,phrasal_verb
to overtake,dépasser,d*******,t* o*******,verb
to patch up,rafistoler,r*********,to pat** u*,phrasal_verb
to peek out,jeter un coup d'œil,j**** u* c*** d****,t* p*** o**,phrasal_verb
to postpone,reporter,r*******,t* p*******,verb
to pretend to be,faire semblant d'être,f**** s******* d****,t* p****** t* b*,phrasal_verb
to pull in,attirer,a******,to p*** in,phrasal_verb
to pull off,enlever,e******,t* p*** o**,phrasal_verb
to purr,ronronner,r********,t* p***,verb
to put aside,mettre de côté,m***** d* c***,t* p** a****,phrasal_verb
to put off,repousser,r********,to p** o**,phrasal_verb
to ramp up,intensifier,i**********,t* r*** u*,phrasal_verb
to rationalize,rationaliser,r***********,t* r**********,verb
to recover,récupérer,r********,t* r******,verb
to rent,louer,l****,t* r***,verb
to resist,résister,r*******,t* r*****,verb
to retaliate,riposter,r*******,t* r********,verb
to rub,frotter,f******,t* r**,verb
to scramble,brouiller / se démener,b******** / s* d******,t* s*******,verb
to scribble,gribouiller,g**********,t* s*******,verb
to scrutinize,scruter / examiner minutieusement,s****** / e******* m*************,t* s*********,verb
to shave,raser,r****,t* s****,verb
to sip,siroter,s******,t* s**,verb
to skew,fausser / biaiser,f****** / b******,t* s***,verb
to slander,calomnier,c********,t* s******,verb
to snap shut,se refermer brusquement,s* r******** b**********,t* s*** s***,phrasal_verb
to sneeze,éternuer,é*******,t* s*****,verb
to soar,monter en flèche,m***** en f*****,t* s***,verb
to spit,cracher,c******,t* s***,verb
to stall,caler / décrocher / stagner,c**** / d******** / s******,t* s****,verb
to start strong,démarrer fort,d******* f***,t* s**** s*****,phrasal_verb
to stay ahead,rester en tête,r***** e* t***,t* s*** a****,phrasal_verb
to steer,diriger,d******,t* s****,verb
to stink,puer,p***,t* s****,verb
to stir,remuer,re****,t* s***,verb
to strangle,étrangler / limiter / asphyxier,é******** / l****** / a********,t* s*******,verb
to submerge,submerger,s********,t* s*******,verb
to sue,poursuivre en justice,p********* en j******,t* s**,verb
to surrender,se rendre,s* r*****,t* s********,verb
to swallow,avaler,av****,t* s******,verb
to sweat,transpirer,t*********,t* s****,verb
to switch,basculer,b*******,t* s*****,verb
to tailor,tailler / adapter,t****** / a******,t* t*****,verb
to take action,agir,a***,t* t*** a*tion,phrasal_verb
to take off,décoller,d*******,to t*** o**,phrasal_verb
to tear,déchirer,d*******,t* t***,verb
to tickle,chatouiller,c**********,t* t*****,verb
to tie,attacher,a*******,t* t**,verb
to tip,donner un pourboire,d***** un p********,t* t**,verb
to toss,lancer,la****,t* t***,verb
to unfold,se dévoiler,s* d*******,t* u*****,verb
to usher in,inaugurer,i******** / a*******,t* u****,verb
to whip,fouetter,f*******,t* w***,verb
to whisper,chuchoter,c********,t* w******,verb
to withdraw,retirer,r******,t* w*******,verb
to worship,adorer,ad****,t* w******,verb
to yawn,bâiller,b******,t* y***,verb
toddler,enfant en bas âge,e***** en b** â**,t******,noun
toothpaste,dentifrice,d*********,t*********,noun
towel,serviette,s********,t****,noun
towing,remorquage,r*********,t**ing,noun
trade off,compromis,c********,tra** o**,noun
trap,piège,p****,t***,noun
trash can,poubelle,p*******,tra** c**,noun
treadmill,tapis roulant,t**** r******,t********,noun
trim out,couper,co****,tri* o**,phrasal_verb
troubleshooting,dépannage,d********,t***********ing,noun
trustworthy,digne de confiance,d**** de c********,tr*********,adjective
tub,cuve / pot,c*** / p**,t**,noun
turning point,tournant,t*******,tur**** p****,noun
ugly,moche,m****,u***,adjective
uncanny,étonnant,é*******,u******,adjective
underwear,sous-vêtements,s***-*********,u********,noun
union,syndicat,s*******,u****,noun
unprecedented,sans précédent,s*** p********,un***********,adjective
upbeat,optimiste,o********,u*****,adjective
upset,bouleversé / dérangé,b********é / d*******,u****,adjective
upsurge,recrudescence,r************,u******,noun
utterly,complétement / tout à fait,c*********** / t*** à ****,u******,adverb
vault,chambre forte,c****** f****,v****,noun
versatile,polyvalent,p*********,v********,adjective
voluntarily,volontairement,v*************,vo*********,adverb
wacky,farfelu,f******,w****,adjective slang
wad of change,liasse de monnaie,l***** de m******,w** of cha***,noun
waffle,gaufre,ga****,w*****,noun
waist,taille,ta****,w****,noun
waitress,serveuse,s*******,w*******,noun
wardrobe,garde-robe,g****-****,w*******,noun
wavering,flottement,f*********,w****ing,noun
we didn't come home late last night,nous ne sommes pas rentrés tard hier soir,n*** n* s***** p** r****** t*** h*** s***,w* d***** c*** h*** l*** l*** n****,phrase
we met,nous nous sommes rencontrés,n*** n*** s***** r**********,w* m**,phrase
wealth,richesse,r*******,w*****,noun
weigh in on ...,donner son avis sur ...,d***** s** a*** s** .**,wei** in on .**,phrasal_verb
well,puits,p****,w***,adverb
what do you do for a living ?,que faites-vous dans la vie ?,q** f*****-**** d*** l* v** ?,w*** d* y** d* f** a l**ing ?,question
what's in it for me ?,qu'est-ce que j'y gagne ?,q******- q** j** g**** ?,w***** i* i* f** m* ?,phrase
wheelbarrow,brouette,b*******,wh*********,noun
whether you like it or not,que tu le veuilles ou non,q** t* l* v******* o* n**,w****** y** l*** i* o* n**,phrase
while,tandis que,t***** q**,w****,conjunction
whisker,moustaches,m*********,w******,noun
wholesale cost,prix ​​de gros,p*** ​*** g***,who****** c***,noun
wholesome,sain,s***,w********,adjective
whose shoes are they ?,à qui sont ces chaussures ?,à q** s*** c** c********* ?,w**** s**** a** t*** ?,question
why are you making so much noise ?,pourquoi fais-tu autant de bruit ?,p******* f***-** a***** d* b**** ?,w** a** y** m**ing s* m*** n**** ?,question
why weren't you at work last week ?,pourquoi n'étais-tu pas au travail la semaine dernière ?,p******* n*****-** p** a* t****** l* s****** d******* ?,w** w****** y** a* w*** l*** w*** ?,question
winch,treuil,tr****,w****,noun
wink,clin d'œil,c*** d****,w***,noun
withdrawal,retrait,r******,w*********,noun
withholding,retenue à la source,r****** à la s*****,w*******ing,noun
witness,témoin,té****,w******,noun
wool,laine,l****,w***,noun
workaround,solution de contournement,s******* de c************,w*********,noun
workload,charge de travail,c***** de t******,w*******,noun
worse,pire,p***,w****,adjective
worthwhile,qui en vaut la peine,q** en v*** la p****,w*********,adjective
wrapping up,conclure,c*******,wra***** u*,phrasal_verb
wrist,poignet,p******,w****,noun
yearning,désir intense,d**** i******,y****ing,noun
yeast,levure,le****,y****,noun
yesterday's leftovers,les restes d'hier,les r***** d*****,yes******** l********,noun
yield,rendement,r********,y****,noun
