front,back,frontHint,backHint,label
three-story house,منزل من ثلاثة طوابق,م*** م* ث**** ط****,t****-s**** h****,phrase
threshold,عتبة,ع***,th*******,noun
throat,حُلقُوم,حُل*ُو*,t*****,noun
throughput,الإنتاجية,ا********,th********,noun
thruster,دافع,د***,th******,noun
thus,هكذا,ه***,t***,adverb
tide,المد,ا***,t***,noun
tight,ضيق,ض**,t****,adjective
tilt,ميل,م**,t***,noun
timely,في الوقت المناسب,ف* ا**** ا******,t*****,adjective
tiny,صغير,ص***,t***,adjective
tires,إطارات,إ*****,t****,noun
tired,مرهق,م***,t****,adjective
to accuse,اِتَّهَمَ,اِتَّهَمَ,t* a*****,verb
to amend,عدل,ع**,t* a****,verb
to arise,نشأ,ن**,t* a****,verb
to aspire,طمح,ط**,t* a*****,verb
to bail,بكفالة,ب*****,t* b***,verb
to bake,خَبَزَ,خَبَزَ,t* b***,verb
to beg,تَسَوَّلَ,تَسَوَّلَ,t* b**,verb
to bet,رَهَنَ,رَهَنَ,t* b**,verb
to bid,زايد,ز***,t* b**,verb
to bite,عَضَّ,عَضَّ,t* b***,verb
to bloom,لتزدهر,ل*****,t* b****,verb
to boast,تَبَاهَى,تَبَا*َى,t* b****,verb
to break,كسر,ك**,t* b****,verb
to bundle,حَزَمَ,حَزَمَ,t* b*****,verb
to carry out,تنفيذ,ت****,t* c**** o**,phrasal_verb
to cipher,تشفير,ت****,t* c*****,verb
to collapse,اِنْهَار,اِنْهَا*,t* co******,verb
to complain about,يشتك,ي***,t* co****** a****,phrasal_verb
to comply,اِمْتَثَلَ,اِمْتَثَلَ,t* c*****,verb
to compromise,تَنَازَلَ,تَنَا*َلَ,t* co********,verb
to crawl,زحف,ز**,t* c****,verb
to dabble,ليشتغل,ل*****,t* d*****,verb
to dangle,دَلَّى,دَلَّى,t* d*****,verb
to delve,تعمق,ت***,t* d****,verb
to demand,طلب,ط**,t* d*****,verb
to despise,احتقر,ا****,t* de*****,verb
to detach,فصل,ف**,t* d*****,verb
to dictate,أَمْلَى,أَمْلَى,t* di*****,verb
to dig,حفر,ح**,t* d**,verb
to disclose,كشف,ك**,t* di******,verb
to dispel,بَدَّدَ,بَدَّدَ,t* d*****,verb
to disturb,أزعج,أ***,t* di*****,verb
to dive,غاص,غ**,t* d***,verb
to divert,حوّل,ح*ّل,t* d*****,verb
to drag,سحب,س**,t* d***,verb
to drown,غرق,غ**,t* d****,verb
to dump,أفرغ / رَمَى,أ*** / رَمَى,t* d***,verb
to eat out,تَنَاوَلَ الطَّعَام خَارِج المَنْزِل,تَنَا*َلَ ا**َّعَا* خَا*ِج ا**َنْزِل,t* e** o**,phrasal_verb
to emphasize,أَكَّدَ,أَكَّدَ,t* em*******,verb
to encompass,شمل,ش**,t* en*******,verb
to engage,تَفَاعَلَ / اِنْخَرَطَ,تَفَا*َلَ / اِنْخَرَطَ,t* e*****,verb
to enthrall,إثارة,إ****,t* en******,verb
to erase,محو,م**,t* e****,verb
to evict,طرد,ط**,t* e****,verb
to face up,مواجهة,م*****,t* f*** u*,phrasal_verb
to fathom,فهم,ف**,t* f*****,verb
to figure out,فَهِمَ,فَهِمَ,t* f***** o**,phrasal_verb
to find out,اِكْتَشَفَ,اِكْتَشَفَ,t* f*** o**,phrasal_verb
to flesh out,أجسد,أ***,t* f**** o**,phrasal_verb
to float,طَفَا,طَفَا,t* f****,verb
to flow,تدفق,ت***,t* f***,verb
to fold,طَوَى,طَوَى,t* f***,verb
to foster,تعزيز,ت****,t* f*****,verb
to freeze,تجميد,ت****,t* f*****,verb
to fumble,تلعثم,ت****,t* f*****,verb
to gather,جمع,ج**,t* g*****,verb
to get rid of,التخلص من,ا***** م*,t* g** r** o*,phrasal_verb
to giggle,ضحك,ض**,t* g*****,verb
to give up,اِسْتَسْلَمَ,اِسْتَسْلَمَ,t* g*** u*,phrasal_verb
to go up,ارتفع / صَعِدَ,ا**** / صَعِدَ,t* g* u*,phrasal_verb
to greet,حَيَّا,حَيَّا,t* g****,verb
to hand over,سلم,س**,t* h*** o***,phrasal_verb
to hand over controls,تسليم الضوابط,ت**** ا******,t* h*** o*** co******,phrasal_verb
to hang,علق,ع**,t* h***,verb
to hang out,تَسَكَّعَ,تَسَكَّعَ,t* h*** o**,phrasal_verb
to hang up,أَغْلَقَ الْخَطّ,أَغْلَقَ ا*ْخَطّ,t* h*** u*,phrasal_verb
to harvest,حصد,ح**,t* ha*****,verb
to herald,بشر,ب**,t* h*****,verb
to hire,استأجر,ا*****,t* h***,verb
to hoard,اكتنز,ا****,t* h****,verb
to hug,عانق,ع***,t* h**,verb
to hustle,صَخِبَ,صَخِبَ,t* h*****,verb
to intermingle,اختلط,ا****,t* in*********,verb
to jettison,تخلص,ت***,t* je******,verb
to jumble,خلط,خ**,t* j*****,verb
to last,يدوم,ي***,t* l***,verb
to lay off,سرح,س**,t* l** o**,phrasal_verb
to look out,احترس,ا****,t* l*** o**,phrasal_verb
to make illegible,جعل غير مقروء,ج** غ** م****,t* m*** il*******,phrasal_verb
to meddle,تدخل,ت***,t* m*****,verb
to melt,ذوب,ذ**,t* m***,verb
to mitigate,تخفيف,ت****,t* mi******,verb
to move in,الانتقال للعيش,ا******* ل****,t* m*** i*,phrasal_verb
to move out,اِنْتَقَلَ / خرج,اِنْتَقَلَ / خ**,t* m*** o**,phrasal_verb
to narrow down,تضييق نطاق,ت**** ن***,t* n***** d***,verb
to nibble,قَضَمَ,قَضَمَ,t* n*****,verb
to opt out,اِنْسَحَبَ,اِنْسَحَبَ,t* o** o**,phrasal_verb
to overtake,تجاوز,ت****,t* ov******,verb
to patch up,أَصْلَحَ,أَصْلَحَ,t* p**** u*,phrasal_verb
to peek out,إلقاء نظرة,إ**** ن***,t* p*** o**,phrasal_verb
to postpone,تأجيل,ت****,t* po******,verb
to pretend to be,تظاهر بأنك,ت**** ب***,t* pr***** t* b*,phrasal_verb
to pull in,سحب,س**,t* p*** i*,phrasal_verb
to pull off,خَلَعَ,خَلَعَ,t* p*** o**,phrasal_verb
to purr,خَرْخَرَ,خَرْخَرَ,t* p***,verb
to put aside,وَضَعَ جانِباً,وَضَعَ ج**ِب*ً,t* p** a****,phrasal_verb
to put off,أَجَّلَ,أَجَّلَ,t* p** o**,phrasal_verb
to ramp up,تكثف,ت***,t* r*** u*,phrasal_verb
to rationalize,بَرَّرَ,بَرَّرَ,t* ra*********,verb
to recover,تَعَافَى,تَعَا*َى,t* re*****,verb
to rent,اِسْتَأْجَرَ,اِسْتَأْجَرَ,t* r***,verb
to resist,قَاوَمَ,قَا*َمَ,t* r*****,verb
to retaliate,اِنْتَقَمَ,اِنْتَقَمَ,t* re*******,verb
to rub,فَرَكَ / دَلَكَ,فَرَكَ / دَلَكَ,t* r**,verb
to scramble,تدافع,ت****,t* sc******,verb
to scribble,شَخْبَطَ / خَرْبَشَ,شَخْبَطَ / خَرْبَشَ,t* sc******,verb
to scrutinize,دَقَّقَ,دَقَّقَ,t* sc********,verb
to shave,حَلَقَ,حَلَقَ,t* s****,verb
to sip,رَشَفَ,رَشَفَ,t* s**,verb
to skew,حَرَّفَ,حَرَّفَ,t* s***,verb
to slander,افترى,ا****,t* sl*****,verb
to snap shut,انغلق بقوة,ا**** ب***,t* s*** s***,phrasal_verb
to sneeze,عطس,ع**,t* s*****,verb
to soar,اِرْتَفَعَ,اِرْتَفَعَ,t* s***,verb
to spit,بصق,ب**,t* s***,verb
to stall,مَاطَلَ / تَعَطَّلَ,مَا*َلَ / تَعَطَّلَ,t* s****,verb
to start strong,بدأ بقوة,ب** ب***,t* s**** s*****,phrasal_verb
to stay ahead,بقي في المقدمة,ب** ف* ا******,t* s*** a****,phrasal_verb
to steer,قَادَ,قَا*َ,t* s****,verb
to stink,نتن,ن**,t* s****,verb
to stir,حرك,ح**,t* s***,verb
to strangle,خنق,خ**,t* st******,verb
to submerge,غَمَرَ,غَمَرَ,t* su******,verb
to sue,قَاضَى / رفع قضية,قَا*َى / ر** ق***,t* s**,verb
to surrender,اِسْتَسْلَمَ,اِسْتَسْلَمَ,t* su*******,verb
to swallow,اِبْتَلَعَ,اِبْتَلَعَ,t* sw*****,verb
to sweat,عرق,ع**,t* s****,verb
to switch,بَدَّلَ,بَدَّلَ,t* s*****,verb
to tailor,خَيَّطَ,خَيَّطَ,t* t*****,verb
to take action,اتَّخَذَ الإِجْرَاءَات,ا*َّخَذَ ا**ِجْرَا*َا*,t* t*** a*****,phrasal_verb
to take off,خَلَعَ / أَقْلَعَ,خَلَعَ / أَقْلَعَ,t* t*** o**,phrasal_verb
to tear,مَزَّقَ,مَزَّقَ,t* t***,verb
to tickle,دغدغة,د****,t* t*****,verb
to tie,ربط,ر**,t* t**,verb
to tip,ترك بقشيش,ت** ب****,t* t**,verb
to toss,رَمَى,رَمَى,t* t***,verb
to unfold,كَشَفَ,كَشَفَ,t* u*****,verb
to usher in,مهّد الطريق,م*ّد ا*****,t* u**** i*,verb
to whip,خَفَقَ / جَلَدَ,خَفَقَ / جَلَدَ,t* w***,verb
to whisper,هَمَسَ,هَمَسَ,t* wh*****,verb
to withdraw,سَحَبَ,سَحَبَ,t* wi******,verb
to worship,عبد,ع**,t* wo*****,verb
to yawn,تثاءب,ت****,t* y***,verb
toddler,طفل صغير,ط** ص***,to*****,noun
toothpaste,معجون أسنان,م**** أ****,to********,noun
towel,منشفة,م****,t****,noun
towing,قطر,ق**,t*****,noun
trade off,حل وسط / مفاضلة,ح* و** / م*****,t**** o**,noun
trap,فخ,ف*,t***,noun
trash can,سلة المهملات,س** ا*******,t**** c**,noun
treadmill,جهاز المشي,ج*** ا****,tr*******,noun
trim out,إزالة,إ****,t*** o**,phrasal_verb
troubleshooting,استكشاف الأخطاء وإصلاحها,ا****** ا****** و*******,tr*************,noun
trustworthy,جدير بالثقة,ج*** ب*****,tr*********,adjective
tub,حوض,ح**,t**,noun
turning point,نقطة انعطاف,ن*** ا*****,tu***** p****,noun
ugly,قبيح,ق***,u***,adjective
uncanny,غريب,غ***,un*****,adjective
underwear,الملابس الداخلية,ا****** ا*******,un*******,noun
union,نقابة,ن****,u****,noun
unprecedented,غير مسبوق,غ** م****,un***********,adjective
upbeat,متفائل,م*****,u*****,adjective
upset,منزعج,م****,u****,adjective
upsurge,تصاعد,ت****,up*****,noun
utterly,تماما,ت****,ut*****,adverb
vault,قبو,ق**,v****,noun
versatile,مُتَعَدِّد الاسْتِخْدَامَات,مُتَعَدِّد ا***ْتِخْدَا*َا*,ve*******,adjective
voluntarily,طوعا,ط***,vo*********,adverb
wacky,سَخِيف,سَخِي*,w****,adjective slang
wad of change,رزمة من النقود,ر*** م* ا*****,w** o* c*****,noun
waffle,وافل,و***,w*****,noun
waist,خَصْر,خَصْر,w****,noun
waitress,نادلة,ن****,wa******,noun
wardrobe,خزانة الملابس,خ**** ا******,wa******,noun
wavering,تَرَدُّد,تَرَدُّد,wa******,noun
we didn't come home late last night,لم نعد إلى المنزل متأخرين الليلة الماضية ,ل* ن** إ** ا***** م****** ا***** ا****** ,w* d***'t c*** h*** l*** l*** n****,phrase
we met,التقينا,ا******,w* m**,phrase
wealth,ثروة,ث***,w*****,noun
weigh in on ..., ... إبداء رأيك في, ... إ**** ر*** ف*,w**** i* o* ...,phrasal_verb
well,بئر,ب**,w***,adverb
what do you do for a living ?,ماذا تعمل لكسب عيشك ؟,م*** ت*** ل*** ع*** ؟,w*** d* y** d* f** a l***** ?,question
what's in it for me,ما في ذلك بالنسبة لي,م* ف* ذ** ب****** ل*,w***'s i* i* f** m*,phrase
wheelbarrow,عربة يدوية,ع*** ي****,wh*********,noun
whether you like it or not,سواء أعجبك ذلك أم لا,س*** أ**** ذ** أ* ل*,wh***** y** l*** i* o* n**,phrase
while,بينما,ب****,w****,conjunction
whisker,شارب,ش***,wh*****,noun
wholesale cost,تكلفة الجملة,ت**** ا*****,wh******* c***,noun
wholesome,صحي,ص**,wh*******,adjective
whose shoes are they ?,لمن هذه الأحذية ؟,ل** ه** ا****** ؟,w**** s**** a** t*** ?,question
why are you making so much noise ?,لماذا تُصدر كل هذا الضجيج؟,ل**** تُص** ك* ه** ا*****؟,w** a** y** m***** s* m*** n**** ?,question
why weren't you at work last week ?,لماذا لم تكن في العمل الأسبوع الماضي ؟,ل**** ل* ت** ف* ا**** ا****** ا***** ؟,w** w****'t y** a* w*** l*** w*** ?,question
winch,رَافِعَة,رَا*ِعَة,w****,noun
wink,غمزة,غ***,w***,noun
withdrawal,سَحْب,سَحْب,wi********,noun
withholding,حجب,ح**,wi*********,noun
witness,شاهد,ش***,wi*****,noun
wool,صوف,ص**,w***,noun
workaround,الحل البديل,ا*** ا*****,wo********,noun
workload,عبء العمل,ع** ا****,wo******,noun
worse,أسوأ,أ***,w****,adjective
worthwhile,جديرة بالاهتمام / مُفِيد,ج**** ب******** / مُفِي*,wo********,adjective
wrapping up,اختتام,ا*****,wr****** u*,phrasal_verb
wrist,مِعْصَم,مِعْصَم,w****,noun
yearning,توق / شَوْق,ت** / شَوْق,ye******,noun
yeast,خميرة,خ****,y****,noun
yesterday's leftovers,بقايا الأمس,ب**** ا****,ye*******'s le*******,noun
yield,عَائِد,عَا*ِد,y****,noun
